Title,Score
07-Ghost,7.19
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVAMy Teen Romantic Comedy SNAFU TOO! OVA,8.03
Watashi no Suki na Souma-Kun,6.98
Shingeki no Kyojin in the Dome: Heishi-tachi no HoshizoraAttack on Titan in the Dome: Soldiers' Starry Sky,7.19
Cuticle Tantei Inaba (Cuticle Detective Inaba),7.39
ef: A Tale of Memories. - Prologue,7.04
Ozu no Kakashi Tsukai,7.07
Semantic Error,8.05
"Sensei to, Watashi to, Hajimete.",6.93
Happy Birthday: Inochi Kagayaku TokiRe-Birthday,7.04
Hypnosis Mic: Before the Battle - The Dirty Dawg,7.97
Toriyama Akira ○-saku Gekijou (Akira Toriyama's Manga Theater),6.94
! (Full Metal Panic),7.78
Uchuu Densetsu Ulysses 31Ulysses 31,7.08
Tales of Symphonia: Toki no Kagayaki,7.48
K: Missing Kings,7.63
Koro-sensei Quest!Koro Sensei Quest!,7.03
Tenjoubito to Akutobito Saigo no Tatakai,7.08
Fate/Extra,7.1
Candy & Cigarettes (Candy and Cigarettes),7.36
Yonakano Reiji ni Harem wo!!,6.97
Shirobako: Kaminoyama Koukou Animation Doukoukai,6.96
Love Hina Final Selection,7.15
Aoki Ryuusei SPT LayznerBlue Comet SPT Layzner,6.95
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV)Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,7.2
Air Gear SpecialAir Gear: Special Trick,7.27
Best of Best: Itou Junji Tanpenshuu (Venus in the Blind Spot),7.37
Overlord: Boukoku no Kyuuketsuki (Overlord: The Vampire Princess of the Lost Country),7.41
Quanzhi Gaoshou SpecialsThe King's Avatar (2018),8.13
Asu no Yoichi! (Samurai Harem: Asu no Yoichi),7.15
Love Stage!!,7.18
No Guns Life 2nd SeasonNo Guns Life Season 2,7.08
Geragera Boes MonogatariOx Tales,7.01
Uchuu no Kishi Tekkaman Blade OVA: Twin BloodTekkaman Blade: Twin Blood,6.93
Hataraku Saibou BlackCells at Work! CODE BLACK!,7.52
Shadows House 2nd Season,8.0
Kimi ga Suki Plus,7.11
Tottemo Kawaii Watashi to Tsukiatte yo!,7.48
Area D: Inou Ryouiki,7.12
Junjou Romantica dj - Junjou Junai ParaBook,7.02
Josou Shounen Anthology Comic,7.22
Yumi's Cells,7.88
Gakuen BabysittersSchool Babysitters,7.9
Kekkai Sensen (Blood Blockade Battlefront),7.73
Ansatsu Kyoushitsu: Kagaijugyou-henAssassination Classroom: Extracurricular Lesson,7.66
Tokyo Magnitude 8.0 Recap,7.06
BlazBlue Official Comics,7.02
Wan Sheng Jie 4All Saints Street 4,7.55
Amanchu!,7.78
Patchwork,7.1
Gabriel DropOut,7.72
Tanoshii Muumin Ikka Bouken Nikki,7.46
Code Geass: Fukkatsu no LelouchCode Geass: Lelouch of the Re;surrection,7.91
Omoide PoroporoOnly Yesterday,7.44
Ousama RankingRanking of Kings,8.52
Hoshi wo Tsugu Mono,7.28
Chuusotsu Worker kara Hajimeru Koukou Seikatsu,7.07
Tsukiyo-Zoushi,7.08
Mahou no Iroha!,7.01
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e KayouThe Misfit of Demon King Academy",7.37
"Hentai Ouji to Warawanai Neko.The ""Hentai"" Prince and the Stony Cat.",7.15
Seven Days (Seven Days: Monday–Sunday),8.12
Seifuku de Vanilla Kiss,7.02
Bishoujo Senshi Sailor Moon CrystalPretty Guardian Sailor Moon Crystal,7.11
Ensemble Stars!! Road to Show!!,7.13
Utakata ni Warau,7.06
JoJo no Kimyou na Bouken Part 4: Diamond wa KudakenaiJoJo's Bizarre Adventure: Diamond is Unbreakable,8.5
Kurogane,7.43
One Piece: Strong World,8.08
Shirahimeshou (Shirahime-Syo: Snow Goddess Tales),7.25
Epilogue,6.94
Murenase! Seton Gakuen: Animal Academy,6.96
Game-bu,7.51
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!Amagi Brilliant Park: No Time to Take It Easy!,7.21
Selector Spread WIXOSS,7.35
Wu Dong Qian Kun,7.33
Renou XueyuanElf Academy,7.14
Lock On!,7.26
